2026-04-12,2026-04-12.1,2026-04-12.2,2026-04-12.3,2026-04-12.4,2026-04-13,2026-04-13.1,2026-04-13.2,2026-04-13.3,2026-04-14,2026-04-14.1,2026-04-14.2,2026-04-14.3,2026-04-15,2026-04-15.1,2026-04-15.2,2026-04-16,2026-04-16.1,2026-04-16.2,2026-04-16.3,2026-04-17,2026-04-17.1,2026-04-18,2026-04-18.1,2026-04-19,2026-04-19.1,2026-04-20,2026-04-20.1,2026-04-20.2,2026-04-21,2026-04-22,2026-04-22.1,2026-04-23,2026-04-23.1,2026-04-24,2026-04-24.1,2026-04-24.2,2026-04-25,2026-04-26,2026-04-27,2026-04-27.1,2026-04-28,2026-04-28.1,2026-04-29,2026-04-30,2026-04-30.1,2026-05-01,2026-05-01.1,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-12.1,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-21.1,2026-05-21.2,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-26.1,2026-05-27,2026-05-28,2026-05-28.1,2026-05-28.2,2026-05-28.3,2026-05-28.4,2026-05-28.5,2026-05-28.6,2026-05-28.7,2026-05-28.8,2026-05-28.9,2026-05-28.10,2026-05-28.11,2026-05-28.12,2026-05-28.13,2026-05-28.14,2026-05-28.15,2026-05-28
23839,23839,23839,23839,23839,29993,29993,29993,29993,33729,33729,33729,33729,27910,27910,27910,26568,27177,27177,27177,27298,27298,24718,24718,27840,27840,27170,27170,27170,22166,22910,22910,22557,22557,25392,25392,25392,22180,24503,25573,25573,21694,21694,21919,24639,24639,24668,24668,20195,23261,23701,25891,24603,31929,26884,27598,23894,25515,26492,26492,27231,25031,27355,27773,26601,26402,23911,24091,22667,22667,22667,22341,27384,22574,24768,24768,21708,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317
23819,23819,23819,23819,23819,28346,28346,28346,28346,32627,32627,32627,32627,27302,27302,27302,25141,25431,25431,25431,27011,27011,24507,24507,27306,27306,26740,26740,26740,21811,22694,22694,22444,22444,25169,25169,25169,22045,24196,25438,25438,21408,21408,21826,24600,24600,23601,23601,19643,23123,23593,25669,24465,30795,26838,26539,23626,24821,26180,26180,27165,24754,27117,27490,26322,25944,23902,23997,22549,22549,22549,22037,26462,22172,23668,23668,21348,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212
23803,23803,23803,23803,23803,28005,28005,28005,28005,32436,32436,32436,32436,27010,27010,27010,24923,25348,25348,25348,26850,26850,23524,23524,26237,26237,26706,26706,26706,21771,22294,22294,22439,22439,24594,24594,24594,21998,24168,25054,25054,21002,21002,21681,24438,24438,22807,22807,19543,22956,23371,25528,24297,30333,26834,26441,23297,24218,25853,25853,27119,24687,27054,27130,26012,25900,23859,23529,22529,22529,22529,21813,23536,21866,23482,23482,20600,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943
23800,23800,23800,23800,23800,27855,27855,27855,27855,31723,31723,31723,31723,26695,26695,26695,24840,25138,25138,25138,26633,26633,22946,22946,25907,25907,26546,26546,26546,21665,21962,21962,21519,21519,23815,23815,23815,21668,24159,24627,24627,20771,20771,21640,24208,24208,22553,22553,19478,22897,23069,25375,23728,29588,26509,25928,23041,22589,25434,25434,26944,24314,26440,26338,25064,24567,23660,23515,22228,22228,22228,21785,23098,21299,23359,23359,20087,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623,20623
23187,23187,23187,23187,23187,27605,27605,27605,27605,29559,29559,29559,29559,26530,26530,26530,24635,25096,25096,25096,26600,26600,22692,22692,25512,25512,25700,25700,25700,21434,21296,21296,21353,21353,23651,23651,23651,21628,23788,23793,23793,20468,20468,21312,23942,23942,22550,22550,18966,22694,22666,25108,23657,28437,26271,24491,23009,22293,25211,25211,26376,24130,26265,26258,23191,23674,23404,23330,22008,22008,22008,21493,23090,20908,23025,23025,20005,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621,20621
22328,22328,22328,22328,22328,27438,27438,27438,27438,29430,29430,29430,29430,25237,25237,25237,24558,25085,25085,25085,26352,26352,22680,22680,25385,25385,25423,25423,25423,21265,20650,20650,20500,20500,23172,23172,23172,21343,23736,22955,22955,20464,20464,20299,23905,23905,22494,22494,18949,22454,22433,24956,23575,28426,26268,24419,22713,22012,25119,25119,25625,23876,26231,26219,23046,22973,23270,23245,21208,21208,21208,21117,22995,20758,22980,22980,19954,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880,19880
22122,22122,22122,22122,22122,26878,26878,26878,26878,29050,29050,29050,29050,25115,25115,25115,24541,24804,24804,24804,26338,26338,22083,22083,24645,24645,25369,25369,25369,21017,20525,20525,20177,20177,23089,23089,23089,21234,23669,22929,22929,20444,20444,20112,23663,23663,22345,22345,18738,22373,21583,24423,23193,28303,25605,23904,22031,21922,24639,24639,25520,23616,26079,26113,22998,22283,23060,23229,21207,21207,21207,20610,22854,20695,22610,22610,19927,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873
22039,22039,22039,22039,22039,26546,26546,26546,26546,28126,28126,28126,28126,25022,25022,25022,24036,24670,24670,24670,25813,25813,22066,22066,24222,24222,24644,24644,24644,20989,20524,20524,19317,19317,22582,22582,22582,20733,23570,22710,22710,20295,20295,19781,23371,23371,22189,22189,17849,22323,20893,23735,22800,27785,24967,23884,21708,20914,24478,24478,25105,23175,25944,24835,22900,21757,23031,22720,21144,21144,21144,20592,22731,20361,22496,22496,19919,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700,19700
21922,21922,21922,21922,21922,26293,26293,26293,26293,27354,27354,27354,27354,24717,24717,24717,23832,24220,24220,24220,25798,25798,21420,21420,24013,24013,24501,24501,24501,20560,20516,20516,18771,18771,21324,21324,21324,20489,23300,22569,22569,20248,20248,19723,22968,22968,21901,21901,17814,22094,20000,23724,22681,27149,24854,23780,21668,20717,24407,24407,24777,22826,25876,24129,22744,21304,22487,22393,20834,20834,20834,20495,22462,20329,22368,22368,19803,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680,19680
21901,21901,21901,21901,21901,26143,26143,26143,26143,27313,27313,27313,27313,24097,24097,24097,23646,24207,24207,24207,25428,25428,21091,21091,23779,23779,24150,24150,24150,20492,20267,20267,18745,18745,21275,21275,21275,20352,22968,22358,22358,19996,19996,19580,22927,22927,21634,21634,17606,21727,19995,23565,22325,27041,24758,23741,21414,20714,23931,23931,24372,22473,24563,23536,22406,21231,22304,21927,20786,20786,20786,19899,22094,19981,21722,21722,19479,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598,19598
21745,21745,21745,21745,21745,25873,25873,25873,25873,27024,27024,27024,27024,23718,23718,23718,23535,24068,24068,24068,25328,25328,21045,21045,23014,23014,23787,23787,23787,20367,20240,20240,18582,18582,20437,20437,20437,19594,22870,21766,21766,19263,19263,19031,21930,21930,21373,21373,17596,21654,19271,23340,22008,26031,24541,23361,21129,20490,23921,23921,24173,22443,23952,22842,21581,21157,22251,21903,20755,20755,20755,19830,21492,19862,21577,21577,19347,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509,19509
21743,21743,21743,21743,21743,25716,25716,25716,25716,26969,26969,26969,26969,23669,23669,23669,23477,23758,23758,23758,25021,25021,20836,20836,22854,22854,23658,23658,23658,19971,20110,20110,18512,18512,19878,19878,19878,19201,22784,21616,21616,19213,19213,18711,21617,21617,21137,21137,17082,21572,19193,22526,21277,25917,24357,23311,21085,20220,23905,23905,24146,22302,23814,22537,21346,21085,22068,21784,20564,20564,20564,19526,21311,19707,20854,20854,18966,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053,19053
21667,21667,21667,21667,21667,25565,25565,25565,25565,26354,26354,26354,26354,23578,23578,23578,23396,23757,23757,23757,24634,24634,20745,20745,22580,22580,23435,23435,23435,19788,20065,20065,18435,18435,19789,19789,19789,19165,22538,21377,21377,19019,19019,18629,21398,21398,20513,20513,16905,21190,19006,22413,21134,25807,23997,23231,21036,19991,23496,23496,24036,21998,23754,22021,21308,21042,22051,20942,20501,20501,20501,19146,21220,19599,20724,20724,18887,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914,18914
21501,21501,21501,21501,21501,24436,24436,24436,24436,26060,26060,26060,26060,23514,23514,23514,22864,23428,23428,23428,24617,24617,20628,20628,22251,22251,23282,23282,23282,19772,20040,20040,18397,18397,18875,18875,18875,19147,22260,21371,21371,18786,18786,18267,21289,21289,20188,20188,16800,20986,18919,22122,20879,24312,23634,23137,20400,19692,22870,22870,23750,21635,23487,21863,21040,20934,21256,20832,20484,20484,20484,18995,21040,19455,19743,19743,18875,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832,18832
21472,21472,21472,21472,21472,24398,24398,24398,24398,25901,25901,25901,25901,23101,23101,23101,22396,22735,22735,22735,24611,24611,20446,20446,21611,21611,22930,22930,22930,19724,19565,19565,18207,18207,18441,18441,18441,18656,21600,20865,20865,18635,18635,17877,20409,20409,20132,20132,16739,20941,18755,22098,20859,24075,23565,22972,20202,19166,22777,22777,23716,21341,23469,21566,20916,20692,21091,20805,20418,20418,20418,18302,20901,19429,19694,19694,18649,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465,18465
21464,21464,21464,21464,21464,24252,24252,24252,24252,25860,25860,25860,25860,23080,23080,23080,22349,22521,22521,22521,23540,23540,20003,20003,21041,21041,22661,22661,22661,19454,19273,19273,17999,17999,18281,18281,18281,18654,20498,20350,20350,18519,18519,17837,20297,20297,20055,20055,16586,20827,18143,21916,20115,23816,22997,22854,20091,18632,22618,22618,23546,21322,23018,21043,20751,19514,20927,20742,19745,19745,19745,18251,20881,19086,19421,19421,18401,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453
21264,21264,21264,21264,21264,24118,24118,24118,24118,25841,25841,25841,25841,22923,22923,22923,22260,22503,22503,22503,23092,23092,19995,19995,20580,20580,22326,22326,22326,19444,19256,19256,17968,17968,17998,17998,17998,17984,20419,20009,20009,18275,18275,17700,20018,20018,19943,19943,16452,20772,18128,21914,20061,23568,22847,22711,20023,18238,21808,21808,23335,21235,23000,20409,20658,19497,20794,20415,19699,19699,19699,18213,20858,18854,18671,18671,18187,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431,18431
21152,21152,21152,21152,21152,24005,24005,24005,24005,25639,25639,25639,25639,22790,22790,22790,22075,22394,22394,22394,22319,22319,19614,19614,20406,20406,21960,21960,21960,19389,18819,18819,17541,17541,17984,17984,17984,17647,20376,19922,19922,18180,18180,17593,19879,19879,19533,19533,16421,19811,18006,21867,19973,23474,22526,22573,19517,17570,21587,21587,23181,21138,22930,20157,20397,19489,20547,20166,19033,19033,19033,17725,20398,18841,18630,18630,18162,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421
21040,21040,21040,21040,21040,22959,22959,22959,22959,25348,25348,25348,25348,22317,22317,22317,21709,21829,21829,21829,22302,22302,19454,19454,20293,20293,21710,21710,21710,19200,18755,18755,17505,17505,17833,17833,17833,17504,20128,19742,19742,17922,17922,17485,18910,18910,19250,19250,16287,19670,17571,21819,19218,23176,22514,22256,19458,17413,21539,21539,21028,20601,22706,20054,20320,19374,20525,19886,18982,18982,18982,17596,20377,18536,18566,18566,18130,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405,18405
20463,20463,20463,20463,20463,22687,22687,22687,22687,25255,25255,25255,25255,22304,22304,22304,21038,21218,21218,21218,21748,21748,19054,19054,19545,19545,21588,21588,21588,18697,18692,18692,17407,17407,17575,17575,17575,17169,20113,19724,19724,17605,17605,17257,18894,18894,19027,19027,16245,19431,17445,21304,19086,21652,22368,22255,18864,17252,21254,21254,20063,20427,22502,20028,20103,18934,20380,19790,18924,18924,18924,17577,20106,18423,18540,18540,18047,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385,18385
20410,20410,20410,20410,20410,22381,22381,22381,22381,25052,25052,25052,25052,21195,21195,21195,20657,20999,20999,20999,21742,21742,18599,18599,19441,19441,21183,21183,21183,18390,18686,18686,17404,17404,17383,17383,17383,17034,19938,19455,19455,17593,17593,17154,18787,18787,19003,19003,16127,19342,17416,21163,18816,21414,22105,21955,18624,17226,20554,20554,19902,20399,21978,19976,20055,18928,19945,19489,18723,18723,18723,17275,20071,18386,18495,18495,17992,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382,18382
20368,20368,20368,20368,20368,22341,22341,22341,22341,24711,24711,24711,24711,21157,21157,21157,20387,20672,20672,20672,21365,21365,18559,18559,18793,18793,20264,20264,20264,18368,18513,18513,17285,17285,16936,16936,16936,17028,19753,19304,19304,17069,17069,17000,18760,18760,18920,18920,15990,18631,17131,20910,18610,21326,21865,20887,18368,16897,20453,20453,19213,20295,21747,19950,20049,18826,19836,19364,18698,18698,18698,17237,19826,18220,18231,18231,17881,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275
20206,20206,20206,20206,20206,22323,22323,22323,22323,24615,24615,24615,24615,20178,20178,20178,20209,20274,20274,20274,21306,21306,18531,18531,18734,18734,20197,20197,20197,17734,18356,18356,17278,17278,16609,16609,16609,16700,19211,19135,19135,16747,16747,16642,18349,18349,18600,18600,15905,18349,16803,20890,18551,21041,21795,20609,18277,16531,20361,20361,19035,20218,21161,19757,19777,18752,19798,19015,18501,18501,18501,17064,19709,17996,17786,17786,17491,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256,18256
20109,20109,20109,20109,20109,21324,21324,21324,21324,24538,24538,24538,24538,20063,20063,20063,19003,19634,19634,19634,21040,21040,18375,18375,18495,18495,20033,20033,20033,17538,18326,18326,17217,17217,16397,16397,16397,16561,19168,19037,19037,16690,16690,16629,18126,18126,18404,18404,15873,17929,16719,20653,18348,21036,21735,20556,17997,16461,20334,20334,19008,20143,21101,19663,19639,18402,19663,18538,18456,18456,18456,17025,19656,17728,17710,17710,17435,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192
20102,20102,20102,20102,20102,21029,21029,21029,21029,24519,24519,24519,24519,20035,20035,20035,18980,19623,19623,19623,20690,20690,18351,18351,18457,18457,19763,19763,19763,17460,18268,18268,17111,17111,16235,16235,16235,16511,18912,19024,19024,16688,16688,16466,17814,17814,18252,18252,15763,17893,16680,20624,18275,20930,21414,20507,17625,16157,20179,20179,18986,20108,21093,19638,19638,18023,19576,18475,18384,18384,18384,17003,19135,17463,17586,17586,17091,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152
19826,19826,19826,19826,19826,20887,20887,20887,20887,24409,24409,24409,24409,20032,20032,20032,18942,19415,19415,19415,20612,20612,18298,18298,18451,18451,18729,18729,18729,17297,18013,18013,16924,16924,16139,16139,16139,16404,18842,18951,18951,16644,16644,16410,17790,17790,17986,17986,14909,17703,16529,20492,17970,20879,21207,20494,17590,16017,20072,20072,18883,19573,21051,19551,19386,17798,19517,18428,17800,17800,17800,16862,18973,17457,17278,17278,17001,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912,17912
19687,19687,19687,19687,19687,20262,20262,20262,20262,24402,24402,24402,24402,19905,19905,19905,18713,19341,19341,19341,19933,19933,18073,18073,18232,18232,18727,18727,18727,16847,17711,17711,16914,16914,16110,16110,16110,16346,18715,18907,18907,16599,16599,15976,17595,17595,17662,17662,14894,17556,16475,20308,17946,20637,20857,20137,17430,15878,20032,20032,18771,19570,20388,19460,19194,17514,19137,18365,17748,17748,17748,16791,18844,17442,16901,16901,16999,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740,17740
19506,19506,19506,19506,19506,19913,19913,19913,19913,23995,23995,23995,23995,19869,19869,19869,18693,19204,19204,19204,19737,19737,17844,17844,17894,17894,18665,18665,18665,16526,17708,17708,16678,16678,16064,16064,16064,16251,18663,18645,18645,16495,16495,15968,17371,17371,16790,16790,14814,17518,16446,20284,17684,20407,20660,19811,17204,15611,20011,20011,18662,19464,20317,18698,18805,17151,18998,18287,17508,17508,17508,16712,18749,17307,16758,16758,16760,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665
19030,19030,19030,19030,19030,19906,19906,19906,19906,23988,23988,23988,23988,19842,19842,19842,18602,18723,18723,18723,19718,19718,17591,17591,17763,17763,18111,18111,18111,16522,17692,17692,16496,16496,16001,16001,16001,16157,18298,18330,18330,16144,16144,15923,17342,17342,16334,16334,14780,17272,16024,20207,17239,20399,20331,19792,17197,15566,19971,19971,18650,19123,20225,18434,18569,16827,18931,17993,16728,16728,16728,16563,18267,17176,16726,16726,16751,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461,17461
18794,18794,18794,18794,18794,19516,19516,19516,19516,23198,23198,23198,23198,19649,19649,19649,18509,18613,18613,18613,19508,19508,17560,17560,17658,17658,17836,17836,17836,16463,17587,17587,16392,16392,15715,15715,15715,15848,17748,17972,17972,15757,15757,15593,17158,17158,16202,16202,14516,17166,15956,19989,17193,20172,19819,19616,17189,15347,19857,19857,18199,18911,19935,18369,18511,16030,18900,17963,16589,16589,16589,16531,18250,16766,16592,16592,16447,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986,16986
18306,18306,18306,18306,18306,19504,19504,19504,19504,23163,23163,23163,23163,19503,19503,19503,18406,18103,18103,18103,19502,19502,17533,17533,17262,17262,17670,17670,17670,16446,17581,17581,16362,16362,15672,15672,15672,15468,17336,17105,17105,15715,15715,15522,17048,17048,16162,16162,14242,16905,15736,19981,17131,20007,19485,19535,16919,15218,19588,19588,18055,18900,19925,18124,18131,16029,18893,17849,16542,16542,16542,16527,18149,16148,16528,16528,16265,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893,16893
17908,17908,17908,17908,17908,19449,19449,19449,19449,22747,22747,22747,22747,19394,19394,19394,17898,18084,18084,18084,19500,19500,17415,17415,16749,16749,17648,17648,17648,16336,17346,17346,16343,16343,15517,15517,15517,15151,17303,16958,16958,15503,15503,15379,16726,16726,15921,15921,14213,16772,15684,19879,17097,19885,19451,19246,16856,15202,19244,19244,18025,18870,19716,17792,18003,15841,18846,17811,16400,16400,16400,16481,17866,16053,15896,15896,15956,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712,16712
17254,17254,17254,17254,17254,19121,19121,19121,19121,22627,22627,22627,22627,19374,19374,19374,17723,17928,17928,17928,19338,19338,17400,17400,16707,16707,17568,17568,17568,16139,17159,17159,16126,16126,15152,15152,15152,15099,17060,16848,16848,15125,15125,15377,16681,16681,15852,15852,14150,16735,15575,19853,17030,19523,19184,18368,16813,15191,19165,19165,17996,18857,19716,17628,17933,15541,18805,17797,16319,16319,16319,16207,17836,15949,15748,15748,15539,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656,16656
17244,17244,17244,17244,17244,19000,19000,19000,19000,22166,22166,22166,22166,19323,19323,19323,17547,17923,17923,17923,19274,19274,17168,17168,16637,16637,17435,17435,17435,16012,16636,16636,16096,16096,14952,14952,14952,14937,17049,16151,16151,15008,15008,15197,16458,16458,15783,15783,14053,16435,15525,19265,16892,19499,19121,17913,16784,15075,19125,19125,17935,18516,18886,17086,17873,15412,18410,17695,16281,16281,16281,16025,17786,15851,15731,15731,15127,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551,16551
17228,17228,17228,17228,17228,18962,18962,18962,18962,22068,22068,22068,22068,18718,18718,18718,17505,17722,17722,17722,19190,19190,16961,16961,16313,16313,17396,17396,17396,15590,16419,16419,15999,15999,14893,14893,14893,14901,16714,16146,16146,14881,14881,15085,16191,16191,15760,15760,13984,16110,15474,19107,16706,19283,18640,17742,16607,15051,18919,18919,17698,18376,18436,16845,17804,15247,17986,17682,16176,16176,16176,16014,17702,15786,15592,15592,14518,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198,16198
17155,17155,17155,17155,17155,18951,18951,18951,18951,22033,22033,22033,22033,18674,18674,18674,17131,17444,17444,17444,18370,18370,16942,16942,16252,16252,17335,17335,17335,15516,16337,16337,15866,15866,14723,14723,14723,14832,16125,16080,16080,14870,14870,15081,16149,16149,15529,15529,13806,16069,15453,18776,16375,19209,18122,17666,16478,15033,18417,18417,17550,18359,18395,16691,17712,15099,17969,17552,15799,15799,15799,15946,17407,15622,15305,15305,14481,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192,16192
16992,16992,16992,16992,16992,18286,18286,18286,18286,21719,21719,21719,21719,18613,18613,18613,17041,17193,17193,17193,18205,18205,16932,16932,16198,16198,17076,17076,17076,15329,16126,16126,15809,15809,14692,14692,14692,14797,16124,16037,16037,14821,14821,14826,16029,16029,15251,15251,13752,16048,15441,18653,16218,19197,18110,17634,16462,14940,18317,18317,17215,18296,18088,16462,17498,14947,17828,17368,15712,15712,15712,15926,17363,15606,15224,15224,14421,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104,16104
16668,16668,16668,16668,16668,18032,18032,18032,18032,21667,21667,21667,21667,18561,18561,18561,16817,17027,17027,17027,18087,18087,16897,16897,16140,16140,16999,16999,16999,14912,16059,16059,15659,15659,14676,14676,14676,14384,15621,16031,16031,14816,14816,14584,15866,15866,15240,15240,13597,15958,15384,18547,16061,19167,17836,17310,16442,14862,18236,18236,17112,18282,17950,16351,17376,14792,17828,17179,15560,15560,15560,15897,17024,15471,15139,15139,14362,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991
16456,16456,16456,16456,16456,17793,17793,17793,17793,21648,21648,21648,21648,18305,18305,18305,16684,16958,16958,16958,18011,18011,16686,16686,16015,16015,16942,16942,16942,14139,16051,16051,15577,15577,14408,14408,14408,14065,15339,15916,15916,14733,14733,14571,15860,15860,15127,15127,13539,15861,15344,18245,15953,19120,17795,17122,16077,14731,18200,18200,17041,18077,17808,16191,17367,14762,17827,17063,15157,15157,15157,15861,16866,15335,15093,15093,14339,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947,15947
16405,16405,16405,16405,16405,17683,17683,17683,17683,21220,21220,21220,21220,18218,18218,18218,16541,16874,16874,16874,17964,17964,16446,16446,16013,16013,16937,16937,16937,14111,15913,15913,15188,15188,14395,14395,14395,13969,15253,15787,15787,14692,14692,14494,15733,15733,14797,14797,13264,15831,15234,17510,15695,19102,17558,16769,15857,14573,18125,18125,16934,17614,17738,16179,17260,14576,17746,17008,14940,14940,14940,15504,16789,15275,15032,15032,14322,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754,15754
16321,16321,16321,16321,16321,17618,17618,17618,17618,21052,21052,21052,21052,18104,18104,18104,16335,16777,16777,16777,17893,17893,16110,16110,16012,16012,16797,16797,16797,14049,15876,15876,15057,15057,14349,14349,14349,13868,15250,15700,15700,14585,14585,14452,15651,15651,14751,14751,13234,15828,15114,17468,15548,18870,17195,16646,15774,14562,17845,17845,16878,17553,17564,15904,16879,14509,17721,16704,14621,14621,14621,15503,16669,15115,15025,15025,14058,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709
16223,16223,16223,16223,16223,17557,17557,17557,17557,20758,20758,20758,20758,18007,18007,18007,16329,16666,16666,16666,17736,17736,15835,15835,15793,15793,16651,16651,16651,13931,15756,15756,14969,14969,14342,14342,14342,13842,15150,15584,15584,14338,14338,14270,15648,15648,14401,14401,13219,15696,15105,17307,15529,18863,17100,16586,15647,14552,17386,17386,16705,17213,17360,15870,16726,14408,17611,16657,14460,14460,14460,15001,16444,15061,14682,14682,13956,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459,15459
16210,16210,16210,16210,16210,17355,17355,17355,17355,20588,20588,20588,20588,17926,17926,17926,16327,16559,16559,16559,17344,17344,15719,15719,15787,15787,16400,16400,16400,13594,15429,15429,14705,14705,14260,14260,14260,13731,15025,15406,15406,14144,14144,14088,15629,15629,14283,14283,13180,15690,14934,17288,15451,18830,16929,16544,15602,14353,17205,17205,16703,17111,17329,15837,16275,14256,17537,16532,14455,14455,14455,14996,16428,14816,14616,14616,13903,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243,15243
16107,16107,16107,16107,16107,17315,17315,17315,17315,20212,20212,20212,20212,17800,17800,17800,16249,16554,16554,16554,17189,17189,15675,15675,15618,15618,16209,16209,16209,13493,15373,15373,14648,14648,14040,14040,14040,13592,14997,15324,15324,14024,14024,13945,15559,15559,14213,14213,13157,15662,14873,17127,15305,18667,16920,16398,15496,14334,17132,17132,16596,17052,17158,15818,16106,14032,17233,16527,14349,14349,14349,14830,16321,14797,14410,14410,13868,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112,15112
16065,16065,16065,16065,16065,17072,17072,17072,17072,20199,20199,20199,20199,17763,17763,17763,16040,16533,16533,16533,17180,17180,15532,15532,15360,15360,16130,16130,16130,13366,15266,15266,14512,14512,13910,13910,13910,13429,14926,15300,15300,13879,13879,13734,15522,15522,14203,14203,12878,15587,14872,17117,15207,18656,16891,16128,15480,14232,16826,16826,16304,16940,17127,15577,15608,14006,17198,16514,14200,14200,14200,14817,16219,14731,14395,14395,13683,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651,14651
15285,15285,15285,15285,15285,17027,17027,17027,17027,20114,20114,20114,20114,17520,17520,17520,16038,16460,16460,16460,17014,17014,15492,15492,14948,14948,16069,16069,16069,13270,15179,15179,14501,14501,13887,13887,13887,13104,14869,15229,15229,13866,13866,13719,15505,15505,14130,14130,12872,15582,14509,17065,15049,18525,16870,16112,15442,14051,16735,16735,16284,16902,17035,15444,15220,13884,16948,16223,14179,14179,14179,14669,15927,14683,14395,14395,13658,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419
