date,value,ai_count_top100,ai_share_pct,ai_within_top100,ai_share_pct_top
2026-04-12,0.0,,,,
2026-04-12,0.0,,,,
2026-04-12,1.0,,,,
2026-04-12,,1.0,0.5578252047386095,,
2026-04-12,,1.0,0.5578252047386095,,
2026-04-12,,1.0,0.5578252047386095,0.0,0.919708386411732
2026-04-13,,1.0,0.581166140189079,0.0,0.919708386411732
2026-04-13,,1.0,0.581166140189079,0.0,0.919708386411732
2026-04-13,,1.0,0.581166140189079,0.0,0.919708386411732
2026-04-14,,2.0,2.470502101601336,0.0,0.919708386411732
2026-04-14,,2.0,2.470502101601336,0.0,0.919708386411732
2026-04-14,,2.0,2.470502101601336,0.0,0.919708386411732
2026-04-14,,2.0,2.470502101601336,0.0,0.919708386411732
2026-04-15,,1.0,0.7492260109760799,0.0,0.919708386411732
2026-04-15,,1.0,0.7492260109760799,0.0,0.919708386411732
2026-04-15,,1.0,0.7492260109760799,0.0,0.919708386411732
2026-04-16,,3.0,1.868599314493538,0.0,0.919708386411732
2026-04-16,,2.0,1.306952071503462,0.0,0.919708386411732
2026-04-16,,2.0,1.306952071503462,0.0,0.919708386411732
2026-04-16,,2.0,1.306952071503462,0.0,0.919708386411732
2026-04-17,,2.0,1.41976727032845,0.0,0.7448251205352711
2026-04-17,,2.0,1.41976727032845,0.0,0.7448251205352711
2026-04-18,,2.0,1.301661994971114,0.0,0.5935394009584511
2026-04-18,,2.0,1.301661994971114,0.0,0.5935394009584511
2026-04-19,,1.0,0.8029019952387677,0.0,0.5892239472347478
2026-04-19,,1.0,0.8029019952387677,0.0,0.5892239472347478
2026-04-20,,2.0,1.2200466486143096,0.0,0.6150263765568607
2026-04-20,,2.0,1.2200466486143096,0.0,0.6150263765568607
2026-04-20,,2.0,1.2200466486143096,0.0,0.6150263765568607
2026-04-21,,0.0,0.0,0.0,0.6869838485712197
2026-04-22,,1.0,0.8324221321047156,0.0,0.6711041281838964
2026-04-22,,1.0,0.8324221321047156,0.0,0.6711041281838964
2026-04-23,,0.0,0.0,0.0,0.7880238860850309
2026-04-23,,0.0,0.0,0.0,0.7880238860850309
2026-04-24,,2.0,2.195703896815532,0.0,0.785422596941344
2026-04-24,,2.0,2.195703896815532,0.0,0.785422596941344
2026-04-24,,2.0,2.195703896815532,0.0,0.785422596941344
2026-04-25,,0.0,0.0,0.0,0.9922297272248708
2026-04-26,,2.0,1.2985694053722825,0.0,0.9583719888843418
2026-04-27,,1.0,0.7913752616870325,0.0,1.0091005996405351
2026-04-27,,1.0,0.7913752616870325,0.0,1.0091005996405351
2026-04-28,,1.0,0.6699543677996276,0.0,1.4562287839825747
2026-04-28,,1.0,0.6699543677996276,0.0,1.4562287839825747
2026-04-29,,2.0,1.757500549764095,0.0,1.6172475802345692
2026-04-30,,1.0,0.7278651661488281,0.0,1.7094807404176695
2026-04-30,,1.0,0.7278651661488281,0.0,1.7094807404176695
2026-05-01,,1.0,1.096091180475984,0.0,1.8991010541983149
2026-05-01,,1.0,1.096091180475984,0.0,1.8991010541983149
2026-05-02,,1.0,0.7796018401105431,0.0,2.555314200581148
2026-05-03,,0.0,0.0,0.0,2.3790077615522094
2026-05-04,,0.0,0.0,0.0,2.555845484692611
2026-05-05,,1.0,0.7220242313805635,0.0,1.9952454713733228
2026-05-06,,1.0,0.724752229836624,1.0,2.2300684706012284
2026-05-07,,2.0,1.5717125068931106,0.0,1.4697527809848443
2026-05-08,,1.0,0.5950953974911655,0.0,1.514314966167451
2026-05-09,,2.0,1.432749792335321,0.0,1.5993495123292374
2026-05-10,,2.0,1.7259885251993063,0.0,1.2980902023340073
2026-05-11,,2.0,2.294055304400967,0.0,1.015917514869728
2026-05-12,,3.0,4.144680613192073,0.0,1.0243649849143923
2026-05-12,,3.0,4.144680613192073,0.0,1.0243649849143923
2026-05-13,,1.0,0.7101603128927522,0.0,1.087164602380594
2026-05-14,,0.0,0.0,0.0,1.1257234709630188
2026-05-15,,1.0,1.3446341731885647,0.0,0.965594628431965
2026-05-16,,1.0,0.6944172380019589,0.0,1.0606871091689898
2026-05-17,,1.0,0.596364655019794,0.0,1.356196733348442
2026-05-18,,3.0,1.793914033751172,0.0,1.01285672599742
2026-05-19,,4.0,3.056215029022643,0.0,1.282643936620823
2026-05-20,,3.0,4.574591547721396,0.0,1.067096475121356
2026-05-21,,1.0,0.5495533189492402,0.0,1.2898258839214325
2026-05-21,,1.0,0.5495533189492402,0.0,1.2898258839214325
2026-05-21,,1.0,0.5495533189492402,0.0,1.2898258839214325
2026-05-23,,2.0,1.4290807605325804,0.0,1.2820409074486705
2026-05-24,,2.0,3.3314676705034767,0.0,0.9971456145902704
2026-05-25,,1.0,0.6545105639299571,0.0,1.1656896178996856
2026-05-26,,1.0,1.8644000928191176,0.0,1.688518894502249
2026-05-26,,1.0,1.8644000928191176,0.0,1.688518894502249
2026-05-27,,2.0,1.65663944894805,0.0,1.98312339061662
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
2026-05-28,,2.0,1.735301772682684,1.0,2.136581287125331
